input_text,reference,greedy,beam,top_k,top_p,greedy_overlap,greedy_model,beam_overlap,beam_model,top_k_overlap,top_k_model,top_p_overlap,top_p_model
"#Person1#: Hi, Mr. Smith. I'm Doctor Hawkins. Why are you here today?
#Person2#: I found it would be a good idea to get a check-up.
#Person1#: Yes, well, you haven't had one for 5 years. You should have one every year.
#Person2#: I know. I figure as long as there is nothing wrong, why go see the doctor?
#Person1#: Well, the best way to avoid serious illnesses is to find out about them early. So try to come at least once a year for your own good.
#Person2#: Ok.
#Person1#: Let me see here. Your eyes and ears look fine. Take a deep breath, please. Do you smoke, Mr. Smith?
#Person2#: Yes.
#Person1#: Smoking is the leading cause of lung cancer and heart disease, you know. You really should quit.
#Person2#: I've tried hundreds of times, but I just can't seem to kick the habit.
#Person1#: Well, we have classes and some medications that might help. I'll give you more information before you leave.
#Person2#: Ok, thanks doctor.","Mr. Smith's getting a check-up, and Doctor Hawkins advises him to have one every year. Hawkins'll give some information about their classes and medications to help Mr. Smith quit smoking.",Mr. Smith. Mr. Smith is Doctor Hawkins. Mr. Smith recommends getting a check-up. Mr. Smith tells Mr. Smith that Mr. Smith should have one every year. Mr. Smith recommends taking a deep breath. Mr. Smith tells Mr. Smith that Mr. Smith's smoking is the leading cause of lung cancer and heart disease,Mr. Smith. Mr. Smith is Doctor Hawkins. Mr. Smith recommends getting a check-up. Mr. Smith tells Mr. Smith the best way to avoid serious illnesses is to find out about them early. Mr. Smith advises Mr. Smith to get a check-up.,"Professor Hawkins and Dr. Martin will get a check-up for their own good. Mr. Smith said Mr. Smith was suffering cancer and heart disease the day before, and Mr. Smith asks Dr. Hawkins about smoking. All they learn is to be present.",Mr. Smith. Mr. Smith asks Ms. Smith why he needs a check-up. Mr. Smith calls him Doctor Hawkins. Mr. Smith recommends Mr. Smith's diagnosis. Mr. Smith calls Mr. Smith to check-up and says he has smoke. Mr. Smith gives him more information before leaving.,0.29885057471264365,0.8562123775482178,0.2631578947368421,0.8538341522216797,0.2105263157894737,0.8358902335166931,0.275,0.8416441082954407
"#Person1#: Hello Mrs. Parker, how have you been?
#Person2#: Hello Dr. Peters. Just fine thank you. Ricky and I are here for his vaccines.
#Person1#: Very well. Let's see, according to his vaccination record, Ricky has received his Polio, Tetanus and Hepatitis B shots. He is 14 months old, so he is due for Hepatitis A, Chickenpox and Measles shots.
#Person2#: What about Rubella and Mumps?
#Person1#: Well, I can only give him these for now, and after a couple of weeks I can administer the rest.
#Person2#: OK, great. Doctor, I think I also may need a Tetanus booster. Last time I got it was maybe fifteen years ago!
#Person1#: We will check our records and I'll have the nurse administer and the booster as well. Now, please hold Ricky's arm tight, this may sting a little.",Mrs Parker takes Ricky for his vaccines. Dr. Peters checks the record and then gives Ricky a vaccine.,and Mrs. Parker are here for his vaccines. Dr. Peters is here for his vaccination records. Dr. Peters will check the records and the nurse will administer Ricky's vaccine.,and Mrs. Parker are here for his vaccines. Dr. Peters and Dr. Peters are here for Ricky's vaccination records. Dr. Peters will check the records and I will have the nurse administer and the booster.,". Dr Peters, I have some infos. Dr. Peters will be recommending a Tetanus booster and to Dr Peters, Dr. Peters will check their records, and Mr. Peters will have a Tetanus booster.",", and Mrs. Parker are here for his vaccines. Dr. Peters is good because of the vaccines and Dr Peters recommends Ricky's vaccines and Dr Peters will check the records. Mr. Peters recommends Ricky's injection and the booster. Mrs. Parker, #Person1# says he may need a Tetan",0.45833333333333326,0.8770437240600586,0.3333333333333333,0.8593000173568726,0.16,0.7848237752914429,0.33333333333333337,0.8650619387626648
"#Person1#: Excuse me, did you see a set of keys?
#Person2#: What kind of keys?
#Person1#: Five keys and a small foot ornament.
#Person2#: What a shame! I didn't see them.
#Person1#: Well, can you help me look for it? That's my first time here.
#Person2#: Sure. It's my pleasure. I'd like to help you look for the missing keys.
#Person1#: It's very kind of you.
#Person2#: It's not a big deal.Hey, I found them.
#Person1#: Oh, thank God! I don't know how to thank you, guys.
#Person2#: You're welcome.",#Person1#'s looking for a set of keys and asks for #Person2#'s help to find them.,#Person1# and #Person2# are very kind of #Person1#. They're welcome.,#Person2#'s first time here. #Person1# asks #Person2# to help #Person2# look for missing keys.,"it. #Person1# finds five places and a small foot ornament. #Person2# likes to search for the missing keys, and also likes to get some help.","Thank God, #Person1#, for finding them. #Person2# asks him to help you locate the missing keys and pick him up and finds the missing keys.",0.21428571428571427,0.8103794455528259,0.25,0.8907262682914734,0.2380952380952381,0.8476265668869019,0.19047619047619052,0.8602424263954163
"#Person1#: Why didn't you tell me you had a girlfriend?
#Person2#: Sorry, I thought you knew.
#Person1#: But you should tell me you were in love with her.
#Person2#: Didn't I?
#Person1#: You know you didn't.
#Person2#: Well, I am telling you now.
#Person1#: Yes, but you might have told me before.
#Person2#: I didn't think you would be interested.
#Person1#: You can't be serious. How dare you not tell me you are going to marry her?
#Person2#: Sorry, I didn't think it mattered.
#Person1#: Oh, you men! You are all the same.",#Person1#'s angry because #Person2# didn't tell #Person1# that #Person2# had a girlfriend and would marry her.,tells #Person1# #Person2# you had a girlfriend. #Person1# tells #Person2# you were in love with her.,#Person1# tells #Person2# #Person2# had a girlfriend. #Person1# tells #Person2# #Person2# is in love with her. #Person2# doesn't think it mattered.,#Person2# should tell #Person1# you had a girlfriend. #Person2# also asks #Person2# not. #Person2# doesn't understand.,#Person1# tells #Person2# #Person1# you have a girlfriend. #Person1# asks #Person2# to tell you they were in love with her.,0.35294117647058826,0.876492977142334,0.35000000000000003,0.9037728905677795,0.34285714285714286,0.8996152877807617,0.3157894736842105,0.8956275582313538
"#Person1#: Watsup, ladies! Y'll looking'fine tonight. May I have this dance?
#Person2#: He's cute! He looks like Tiger Woods! But, I can't dance. . .
#Person1#: It's all good. I'll show you all the right moves. My name's Malik.
#Person2#: Nice to meet you. I'm Wen, and this is Nikki.
#Person1#: How you feeling', vista? Mind if I take your friend'round the dance floor?
#Person2#: She doesn't mind if you don't mind getting your feet stepped on.
#Person1#: Right. Cool! Let's go!",Malik invites Nikki to dance. Nikki agrees if Malik doesn't mind getting his feet stepped on.,Malik and Nikki. #Person1# will dance. #Person2# tells Malik that Nikki can't dance. #Person1# and Nikki are both happy.,Malik and Nikki. #Person1# tells Malik that Nikki can't dance. #Person2# will show #Person1# all the right moves. #Person1# and Nikki agree.,". #Person1#, Malik, and Nikki are great and I will meet you for the dance. It's good. #Person2# asks Nikki for the dance.","Nikki’s happy tonight. #Person2# finds Malik, so the dance is good. Nikki, Nikki and Nikki are very welcome and happy to see Nikki dance.",0.27027027027027023,0.766072154045105,0.19999999999999998,0.7719404101371765,0.19999999999999998,0.7448885440826416,0.19047619047619052,0.7677559852600098
"#Person1#: Happy birthday, Aims!
#Person2#: Thank you, Lisa.
#Person1#: Here is a present for you. I hope you like it.
#Person2#: Oh, great! I love it! You know I've been expecting this for a long time.
#Person1#: I'm very glad to hear that.
#Person2#: Come here ; let me introduce some friends to you.",Lisa gives Aims a birthday present and Aims loves it.,Lisa and Lisa are celebrating their birthday. They are very happy.,#Person1# and Aims are celebrating their birthday and Lisa will introduce some friends to Lisa.,and Lisa will celebrate Aims. Aims wishes Lisa their birthday. Lisa invited me here and she introduces some friends to Lisa. She will bring Aims to Lisa.,Lisa gives Aims a present. Lisa will present it to her. She will introduce some friends to him.,0.1904761904761905,0.8008904457092285,0.24,0.8018580079078674,0.2702702702702703,0.8162510991096497,0.42857142857142855,0.8391903042793274
"#Person1#: Here we come.
#Person2#: Thank you. What's the fare?
#Person1#: $ 10.
#Person2#: How can it be?
#Person1#: Well, the rate is two dollars for the first two kilometers and twenty cents for each additional two hundred meters.
#Person2#: I see. Thanks for your drive.",#Person1# tells #Person2# the fare of taking a taxi.,and #Person2# come to #Person1#. #Person2# asks #Person1# to pay the fare.,#Person2# tells #Person1# the rate is two dollars for the first two kilometers and twenty cents for each additional two hundred meters.,#Person1# and #Person2# see the rates. Please tell #Person2# the price and the rate of the distance is $10.,", #Person1# and #Person2# get the fare and have a drive.",0.380952380952381,0.8861755132675171,0.1290322580645161,0.8152827024459839,0.2857142857142857,0.8447035551071167,0.5263157894736842,0.8740880489349365
"#Person1#: Can I help you?
#Person2#: Yes. I sent in my resume at the end of last week. I'm applying for the accounts assistant position.
#Person1#: May I have your name please?
#Person2#: My name is Judy Liao. That's spelled L I A O.
#Person1#: Alright. . . And did you have some specific questions about your application?
#Person2#: Not really. I was in the neighborhood, and I just wanted to stop in to see if you received my resume.
#Person1#: Oh, that's no problem. Just give me a moment, and I can check. Judy Liao. Let's see. . . Yes, here it is. Judy Liao. We have received your resume.
#Person2#: Thank you.
#Person1#: Is there anything else I can help you with?
#Person2#: Yes, maybe. The ad in the newspaper said you wanted the resume, a cover letter, and two letters of recommendation. I included those things in the envelope. Is there anything else I should send?
#Person1#: No, that is all we need. If we have those things included, that is sufficient.
#Person2#: Do you know when they will start setting up interviews for the job?
#Person1#: I'm not really sure about that. But I know we are still receiving resumes. Maybe after a week or two they will start calling applicants.
#Person2#: I see. Well, thank you very much for helping me. You have been very helpful.
#Person1#: If you have any further questions, you can call any time.
#Person2#: Thank you.
#Person1#: Thank you. Goodbye.","Judy Liao's applying for the accounts assistant position. She asks #Person1# whether they have received her resume, and #Person1# helps her check. #Person1# tells Judy there's nothing else she should send, and after a week or two they may start calling applicants.",Judy Liao. Judy Liao is applying for the accounts assistant position. Judy Liao tells her she received her resume. Judy Liao asks for help.,Judy Liao's applying for the accounts assistant position. Judy Liao tells #Person1# she sent in her resume at the end of last week and she's applying for the accounts assistant position. Judy Liao asks for help.,Judy Liao and Judy Liao. I sent in a resume and Judy is applying for the accounting assistant position. Judy describes what she's got from her job.,"Judy Liao, is applying for the accounts assistant position. Judy Liao tells the newspaper Judy received the resume. Judy will call.",0.38235294117647056,0.8400132656097412,0.3414634146341463,0.8727139830589294,0.25000000000000006,0.8051045536994934,0.3384615384615385,0.8208573460578918
"#Person1#: This is a good basic computer package. It's got a good CPU, 256 megabytes of RAM, and a DVD player.
#Person2#: Does it come with a modem?
#Person1#: Yes, it has a built-in modem. You just plug a phone line into the back of the computer.
#Person2#: How about the monitor?
#Person1#: A 15 - inch monitor is included in the deal. If you want, you can switch it for a 17 - inch monitor, for a little more money.
#Person2#: That's okay. A 15 - inch is good enough. All right, I'll take it.",#Person1# shows a basic computer package to #Person2#. #Person2# thinks it's good and will take it.,"is a good basic computer package. It's got a good CPU, 256 megabytes of RAM, and a DVD player. #Person1# recommends a 15 - inch monitor.","is a good basic computer package. It's got a good CPU, 256 megabytes of RAM, and a DVD player.","offers a good basic computer package and it's got a good CPU, 256 megabytes of RAM and a DVD player from the PC. The monitor comes with a built-in modem. #Person1# switches it to a 17 - inch monitor, for a little more money.",the deal. #Person1# compares the monitors to #Person2#'s basic computer package.,0.372093023255814,0.8211586475372314,0.4324324324324324,0.762345552444458,0.2903225806451613,0.8051139116287231,0.27586206896551724,0.8833419680595398
"#Person1#: Excuse me, do you know where the visa office is?
#Person2#: Yes, I do. I'll walk you there.
#Person1#: Thanks.
#Person2#: Are you applying to study or work abroad?
#Person1#: I want to study abroad.
#Person2#: What do you want to study?
#Person1#: I hope to study English Literature.
#Person2#: Have you got your visa yet?
#Person1#: Not yet. I have an interview with a visa official today.
#Person2#: I see. Is it your first interview?
#Person1#: No, I'Ve already been here for 3 interviews.",#Person1# has an interview with a visa official. #Person1# asks #Person2# the way to the visa office.,#Person1# asks #Person2# to study English Literature. #Person2# asks #Person1# to go to the visa office. #Person1# asks #Person2# to go to the visa office.,#Person1# tells #Person2# #Person2# wants to study English Literature. #Person2# asks #Person1# where the visa office is. #Person2# will walk #Person1# there.,#Person2# asks #Person1# to study abroad. #Person2# asks #Person1# to meet #Person1# and #Person2# will walk out. #Person1# asks #Person2# where the visa office is. She tells #Person1# #Person1# is here for 3,#Person1# and #Person2# have an interview today with a visa official. The interview is being carried out today. #Person1# says #Person2#'s first interviews and will walk the visa official there.,0.42857142857142855,0.8991023302078247,0.30769230769230765,0.8934293389320374,0.27999999999999997,0.8817524909973145,0.4583333333333333,0.8994778990745544
